Date,Open,High,Low,Close,Adj Close,Volume
2022-09-15,6.000000,6.210000,5.940000,5.940000,5.940000,310200
2022-09-16,5.820000,5.900000,5.720000,5.770000,5.770000,632700
2022-09-19,5.720000,6.040000,5.720000,5.900000,5.900000,465300
2022-09-20,5.800000,5.820000,5.510000,5.510000,5.510000,371900
2022-09-21,5.550000,5.600000,5.250000,5.310000,5.310000,519100
2022-09-22,5.320000,5.470000,5.290000,5.360000,5.360000,344200
2022-09-23,5.240000,5.330000,5.110000,5.280000,5.280000,419100
2022-09-26,5.220000,5.400000,5.100000,5.150000,5.150000,297300
2022-09-27,5.210000,5.250000,5.010000,5.140000,5.140000,311200
2022-09-28,5.170000,5.320000,5.160000,5.210000,5.210000,220400
2022-09-29,5.110000,5.150000,4.880000,5.000000,5.000000,312400
2022-09-30,4.980000,4.980000,4.810000,4.900000,4.900000,471000
2022-10-03,4.940000,5.350000,4.920000,5.190000,5.190000,671900
2022-10-04,5.290000,5.470000,5.270000,5.440000,5.440000,566900
2022-10-05,5.330000,5.350000,5.150000,5.270000,5.270000,406900
2022-10-06,5.240000,5.450000,5.230000,5.380000,5.380000,354900
2022-10-07,5.270000,5.370000,5.220000,5.350000,5.350000,437700
2022-10-10,5.350000,5.380000,4.900000,4.940000,4.940000,543000
2022-10-11,4.920000,5.300000,4.920000,5.190000,5.190000,668900
2022-10-12,5.160000,5.490000,5.160000,5.410000,5.410000,418800
2022-10-13,5.240000,5.630000,5.140000,5.510000,5.510000,478500
2022-10-14,5.540000,5.640000,5.400000,5.410000,5.410000,332500
2022-10-17,5.570000,5.570000,5.300000,5.340000,5.340000,285100
2022-10-18,5.470000,5.600000,5.310000,5.410000,5.410000,243600
2022-10-19,5.330000,5.370000,4.980000,5.070000,5.070000,621100
2022-10-20,5.100000,5.280000,5.010000,5.050000,5.050000,321700
2022-10-21,5.170000,5.190000,5.000000,5.180000,5.180000,279100
2022-10-24,5.170000,5.250000,5.060000,5.080000,5.080000,927200
2022-10-25,5.110000,5.410000,5.070000,5.380000,5.380000,2069000
2022-10-26,5.360000,5.760000,5.360000,5.490000,5.490000,403200
2022-10-27,5.490000,5.720000,5.430000,5.570000,5.570000,335000
2022-10-28,5.560000,5.680000,5.470000,5.600000,5.600000,247400
2022-10-31,5.600000,5.620000,5.420000,5.430000,5.430000,331900
2022-11-01,5.330000,5.470000,4.810000,5.100000,5.100000,1023600
2022-11-02,4.870000,4.960000,4.450000,4.490000,4.490000,804700
2022-11-03,4.520000,4.750000,4.450000,4.620000,4.620000,547300
2022-11-04,4.790000,4.790000,4.300000,4.420000,4.420000,592800
2022-11-07,4.430000,4.580000,4.380000,4.570000,4.570000,477000
2022-11-08,4.600000,4.750000,4.430000,4.600000,4.600000,494200
2022-11-09,4.510000,4.590000,4.240000,4.330000,4.330000,688800
2022-11-10,4.600000,4.740000,4.490000,4.570000,4.570000,649900
2022-11-11,4.690000,5.080000,4.630000,4.940000,4.940000,632900
2022-11-14,4.900000,5.060000,4.790000,4.800000,4.800000,633800
2022-11-15,4.920000,5.100000,4.820000,4.860000,4.860000,674300
2022-11-16,4.790000,4.890000,4.500000,4.550000,4.550000,632600
2022-11-17,4.490000,4.630000,4.470000,4.520000,4.520000,500400
2022-11-18,4.630000,4.630000,4.430000,4.500000,4.500000,520900
2022-11-21,4.480000,4.540000,4.370000,4.480000,4.480000,1040800
2022-11-22,4.540000,4.800000,4.540000,4.780000,4.780000,908300
2022-11-23,4.730000,4.860000,4.690000,4.840000,4.840000,324500
2022-11-25,4.790000,4.860000,4.710000,4.710000,4.710000,112400
2022-11-28,4.640000,4.800000,4.600000,4.620000,4.620000,300900
2022-11-29,4.590000,4.680000,4.580000,4.630000,4.630000,202200
2022-11-30,4.690000,4.800000,4.610000,4.750000,4.750000,249900
2022-12-01,4.780000,4.890000,4.740000,4.810000,4.810000,273300
2022-12-02,4.720000,4.790000,4.680000,4.730000,4.730000,276300
2022-12-05,4.710000,4.840000,4.610000,4.720000,4.720000,289200
2022-12-06,4.770000,4.840000,4.620000,4.750000,4.750000,357600
2022-12-07,4.720000,4.800000,4.710000,4.780000,4.780000,305600
2022-12-08,4.800000,4.940000,4.730000,4.850000,4.850000,270700
2022-12-09,4.850000,5.090000,4.850000,5.010000,5.010000,417100
2022-12-12,4.990000,5.030000,4.800000,4.840000,4.840000,397500
2022-12-13,5.000000,5.070000,4.820000,4.900000,4.900000,299800
2022-12-14,4.800000,4.800000,4.450000,4.460000,4.460000,765000
2022-12-15,4.400000,4.410000,4.220000,4.390000,4.390000,504100
2022-12-16,4.320000,4.510000,4.230000,4.510000,4.510000,742100
2022-12-19,4.500000,4.500000,4.140000,4.160000,4.160000,439500
2022-12-20,4.150000,4.240000,4.000000,4.130000,4.130000,453900
2022-12-21,4.180000,4.230000,4.040000,4.090000,4.090000,1043800
2022-12-22,4.060000,4.280000,3.890000,4.260000,4.260000,405300
2022-12-23,4.180000,4.320000,4.150000,4.260000,4.260000,225000
2022-12-27,4.230000,4.260000,4.140000,4.210000,4.210000,319200
2022-12-28,4.170000,4.300000,4.130000,4.150000,4.150000,239500
2022-12-29,4.150000,4.350000,4.110000,4.300000,4.300000,249400
2022-12-30,4.210000,4.400000,4.200000,4.310000,4.310000,447700
2023-01-03,4.400000,4.490000,4.330000,4.430000,4.430000,308700
2023-01-04,4.460000,4.670000,4.440000,4.640000,4.640000,350700
2023-01-05,4.650000,4.650000,4.480000,4.540000,4.540000,173800
2023-01-06,4.630000,4.700000,4.550000,4.670000,4.670000,150100
2023-01-09,4.740000,4.920000,4.660000,4.830000,4.830000,278900
2023-01-10,4.830000,4.980000,4.830000,4.960000,4.960000,158400
2023-01-11,4.970000,5.140000,4.970000,5.140000,5.140000,255200
2023-01-12,5.150000,5.350000,5.120000,5.340000,5.340000,484400
2023-01-13,5.290000,5.380000,5.180000,5.240000,5.240000,436600
2023-01-17,5.260000,5.300000,5.140000,5.160000,5.160000,246400
2023-01-18,5.180000,5.260000,4.950000,4.950000,4.950000,266400
2023-01-19,4.910000,4.990000,4.720000,4.800000,4.800000,226900
2023-01-20,4.850000,4.890000,4.790000,4.860000,4.860000,175300
2023-01-23,4.890000,5.000000,4.840000,4.900000,4.900000,260600
2023-01-24,4.950000,4.990000,4.860000,4.940000,4.940000,154300
2023-01-25,4.860000,5.030000,4.790000,5.010000,5.010000,166400
2023-01-26,5.050000,5.170000,5.020000,5.100000,5.100000,143900
2023-01-27,5.090000,5.240000,5.090000,5.170000,5.170000,116400
2023-01-30,5.140000,5.220000,5.070000,5.120000,5.120000,166100
2023-01-31,5.130000,5.240000,5.130000,5.210000,5.210000,195100
2023-02-01,5.180000,5.560000,5.150000,5.490000,5.490000,290000
2023-02-02,5.570000,5.780000,5.490000,5.700000,5.700000,242700
2023-02-03,5.680000,5.730000,5.620000,5.680000,5.680000,244800
